"Model","N_questions","N_correct","Accuracy"
"Grok43",73,57,0.781
"Gemini31",73,56,0.767
"GPT54",73,54,0.74
"Grok41",73,52,0.712
"GPT4o",73,51,0.699
"GPT54-mini",73,51,0.699
"Claude46",73,50,0.685
"Claude4",73,49,0.671
"GPT5",73,49,0.671
"GPT54-nano",73,49,0.671
"Gemini25",73,49,0.671
"GPT51",73,48,0.658
"Claude37",73,47,0.644
"Grok2-vision",73,46,0.63
"Gemini20",73,40,0.548
