"Comparison_Type","N_model_pairs","Mean_similarity","Median_similarity","SD_similarity","Min_similarity","Max_similarity"
"Between vendors",81,0.481,0.485,0.081,0.304,0.651
"Within vendor",24,0.509,0.533,0.091,0.366,0.671
