"","Exam","Question","Topic_1","Topic_2","Topic_3","Topic_4","Topic_5","Topic_6","Topic_7","Topic_8","Topic_9","Topic_10","Topic_11","Topic_12","Topic_13","Topic_14","Topic_15","Topic_16","Topic_17","Topic_18","Topic_19","Topic_20","DominantTopic","DominantLabel","DominantProb"
"1","ACTM",1,0.00250407099229141,0.00353309522792696,0.466089117158713,0.0015250769558043,0.0109058185052165,0.00152139354970788,0.321609960469661,0.0581329981494551,0.062628331203941,0.0161762961336135,0.00410888106800833,0.00974601333306965,0.00313986762759711,0.00635352183508291,0.000198399104545511,0.000374562529649689,0.00558769911010705,0.0217595952177528,0.00333577393978664,0.000769527888070267,3,"Diagnostic Testing and Classification Errors",0.466089117158713
"2","ACTM",2,0.0023880297606452,0.00698926578273203,0.479335822130692,0.000492296809997443,0.00324308599944225,0.00193204680799594,0.004766193625729,0.00896411730656916,0.00382192915117471,0.00274511689494263,0.0025999244019844,3.48847203832799e-05,0.00111852409356196,0.00101788431785299,0.000490546986263817,0.0015393503626716,0.000186549201145078,0.00737781654154779,0.470850973557716,0.000105641546952414,3,"Diagnostic Testing and Classification Errors",0.479335822130692
"3","ACTM",3,0.00151679196289132,0.00425789577899124,0.902893345771785,0.00041102498818926,0.00357096523497172,0.0118719665175824,0.00490216878505291,0.0355625453393542,0.00503111928903737,0.00508135823368778,0.00282781129468635,0.000176330950390652,0.00251962834334425,0.001366845519858,0.00424220778010048,0.000739195758428099,0.000646163125053494,0.00913330701042477,0.0028629748512472,0.000386353464923878,3,"Diagnostic Testing and Classification Errors",0.902893345771785
"4","ACTM",4,0.0136213729714729,0.0101311646670141,0.00329114098637749,0.00374362067415995,0.639966735639262,0.000215247283042955,0.236438093194205,0.0289399516470421,0.0089449501168961,0.00691040093724014,0.000395182244710806,0.00051884188791098,0.00494646283452411,0.00142679229088917,0.003716288265641,0.000209661628154499,0.00764133696342886,0.00471720060717109,0.0234851967016288,0.000740358459228681,5,"Regression Model Interpretation",0.639966735639262
"5","ACTM",5,0.0228845821892827,0.0124383070274287,0.00275078749261678,0.00443272972030827,0.496282570462645,0.00019949819657781,0.362274838661145,0.0417638697590741,0.0112400937974882,0.00528007664350923,0.000491375480563326,0.00278878151071723,0.00511482649496707,0.00239649880705107,0.000825997992281035,0.000169678444342705,0.00641467475714933,0.00237229935670637,0.0189723602480531,0.000906152958092728,5,"Regression Model Interpretation",0.496282570462645
"6","ACTM",6,0.00633993130732995,0.0157115228261016,0.00530397085100239,0.000726181127211269,0.0407401162977395,0.00135771751606023,0.0175162646743286,0.0389645512305725,0.00298127528661411,0.00687140024440348,0.000209582518409065,0.000127930097433586,0.0050512506672211,0.000545983540021131,0.0043784171880118,0.00246863841492566,0.00224400770885891,0.000271909099033616,0.847851492009135,0.000337857395586373,19,"Randomization and Causal Inference",0.847851492009135
"7","ACTM",7,0.000448107343105183,0.00252753282797073,0.0052514051834792,0.000866033546534124,0.0073451721649512,0.000190641689202926,0.34677716361036,0.0673711223903889,0.500974262738047,0.00678891196484119,0.0471421544744687,0.0045695463541527,0.00218692102696701,0.00187328689044386,0.000215793955249133,3.18538213791489e-05,0.00195021359352533,0.00115727130127727,0.00130202645217529,0.00103057867148086,9,"Procedural Statistical Computation",0.500974262738047
"8","ACTM",8,0.00131872880189814,0.00326834292939545,0.00502511190337955,0.00208880883901964,0.014361478630148,0.000153169222752703,0.714352531591434,0.0501144076856247,0.143642119784521,0.0373716567163449,0.00789736361661269,0.00176658635831241,0.00270391349011646,0.00650300365675418,0.000293687786775476,3.82057379719805e-05,0.00248211716821436,0.00266461241282402,0.0026815377172569,0.00127261595064291,7,"Sampling Distributions and Standardization",0.714352531591434
"9","ACTM",9,0.00253539463316616,0.00627364296117738,0.00763098286627764,0.00633239429665421,0.0254292880725834,0.00169159745191882,0.219690099364056,0.314641797628177,0.0731728843175442,0.0082980250390767,0.0055129140394884,0.0055642819020364,0.00395937645945746,0.0109776043073681,0.000799549760128139,0.000161574161642998,0.298969619767068,0.00354464049939733,0.0041569002905858,0.000657432182196183,8,"Reasoning with Incomplete Information",0.314641797628177
"10","ACTM",10,0.000907356774633355,0.00242842091871134,0.00820625630029923,0.00159078197938308,0.00705767091378994,0.00298172494179731,0.214571043545116,0.629088020151235,0.0769709236015428,0.00987912344693144,0.00700344219937423,0.00661896174060634,0.00638165518630925,0.00693496181146205,0.000786583648206626,0.000118140521523722,0.00999113836435262,0.00146763691389605,0.00564684596673453,0.00136931107409448,8,"Reasoning with Incomplete Information",0.629088020151235
"11","ACTM",11,0.00347783895241326,0.00744186277416278,0.0235557164710428,0.0004162554076225,0.00975913734507447,0.00410682406320036,0.0195472423198916,0.578965798957074,0.00891915840078074,0.00344218959103991,0.000628689327724257,0.12806944730288,0.0108826891725963,0.179820347591894,0.000241374995087013,8.3995966442809e-05,0.0147652848214242,0.000894940576010825,0.0031232643842868,0.00185794157935178,8,"Reasoning with Incomplete Information",0.578965798957074
"12","ACTM",12,0.00441084603496214,0.864233811714838,0.0194797416385257,0.000339841801303461,0.016360646238693,0.00360956482879451,0.00562321903116023,0.0246357135297345,0.00263299833261895,0.00154387124080806,0.000329972854228311,0.000205799464557563,0.00259633362882598,0.00109201682805244,9.01818782756893e-05,0.000279097196201364,0.00102395931564695,0.00025472737498483,0.0509819717112063,0.000275685356581965,2,"Sampling Bias and Generalizability",0.864233811714838
"13","ACTM",13,0.0139409942544707,0.0393668121917749,0.00357830460891046,0.000603773057384762,0.00984448053828591,0.000666407167488691,0.0243031967446726,0.0118190321771215,0.00142353983667648,0.0204113292058022,0.000140143684922186,5.06818445010806e-05,0.00142327985419353,0.00036315655200708,0.000866189324310749,0.00188179595502086,0.000929547579749862,0.000218907842131281,0.867965360876191,0.000203066704384593,19,"Randomization and Causal Inference",0.867965360876191
"14","ACTM",14,0.0217998946238106,0.0234246788987581,0.00661758202144151,0.00291131891965666,0.00691979712753629,0.000396347226750968,0.0192632909714703,0.0376211310796017,0.00825073451383777,0.000392110916480867,0.00118987561928292,0.645076591306396,0.0226954600270942,0.198038359478754,3.4722790474489e-06,0.00157680985831648,0.000187530663291182,0.000136854756257903,0.00344145408749432,5.67056247208739e-05,12,"Distribution Summaries and Boxplot Interpretation",0.645076591306396
