"Model","N_total","N_NC","N_NA","Pct_NC","Pct_NA"
"GPT5",73,14,3,19.2,4.1
"Claude37",73,12,0,16.4,0
"Claude4",73,8,0,11,0
"GPT4o",73,7,0,9.6,0
"GPT51",73,7,0,9.6,0
"Claude46",73,5,0,6.8,0
"GPT54-nano",73,5,0,6.8,0
"Gemini25",73,5,0,6.8,0
"Gemini31",73,4,0,5.5,0
"Grok2-vision",73,4,0,5.5,0
"Gemini20",73,3,15,4.1,20.5
"GPT54-mini",73,3,0,4.1,0
"Grok41",73,2,0,2.7,0
"GPT54",73,1,0,1.4,0
"Grok43",73,0,0,0,0
